feature	importance
max_hydrophobicity	0.08979265917845541
max_aliphacity	0.06316132033674897
mean_hydrophobicity	0.05723467967691082
tm_position	0.05619776456356753
most_charged	0.04274959657422509
tm_max	0.04090483309635028
mean_beta_sheet	0.03845783938327841
tm_mean	0.036233202069340616
most_hydrophobic_residue	0.035951903477553074
mean_alpha_helix	0.03491970371061971
max_beta_sheet	0.032114020299024874
composition_(A)	0.031916939136708955
most_likely_beta_sheet	0.031769292183476606
mean_aliphacity	0.031304513828503217
most_aliphatic_residue	0.03031845524881722
composition_(C)	0.02427537724263718
composition_(L)	0.02371017008729534
max_alpha_helix	0.022331966974801713
most_likely_alpha_helix	0.021251994760377285
less_charged	0.020939293302965633
composition_(I)	0.019879405673082846
composition_(G)	0.016608612086461385
composition_(P)	0.01639126899921416
min_charge	0.01451110051046353
composition_(S)	0.014215421591220457
composition_(V)	0.014010187983060174
composition_(F)	0.012504542560791252
max_charge	0.01232423186702535
composition_(N)	0.012194163503507206
composition_(T)	0.011952531056068898
composition_(R)	0.011889137080970604
composition_(W)	0.011787562347899233
composition_(K)	0.011271032573320133
composition_(D)	0.010974614241315376
composition_(E)	0.010697777371061461
composition_(Q)	0.009883663361465417
composition_(M)	0.008621246133054103
composition_(Y)	0.00769189103459362
composition_(H)	0.00705608489376686
