feature	importance
max_hydrophobicity	0.09588077478171284
max_aliphacity	0.06754829331630104
tm_position	0.06382274539181719
mean_hydrophobicity	0.05494120188309836
tm_max	0.04422470466286457
most_likely_beta_sheet	0.03841734784287366
tm_mean	0.037416178536144463
most_hydrophobic_residue	0.03736017480559369
most_charged	0.03650687918288155
mean_beta_sheet	0.0358073319602575
mean_aliphacity	0.03424664312985816
most_aliphatic_residue	0.03281528211234023
max_beta_sheet	0.031483233287445865
mean_alpha_helix	0.030419850235298196
composition_(A)	0.026573243102554434
max_alpha_helix	0.024829354075935447
composition_(C)	0.02402233606726787
composition_(L)	0.02391208036259479
less_charged	0.02135413489655959
most_likely_alpha_helix	0.020365237024254156
composition_(P)	0.01553447619904336
composition_(V)	0.014533097674430477
composition_(S)	0.01437526016457544
composition_(G)	0.01396939849785614
composition_(I)	0.013967600647856243
composition_(R)	0.013041428750086632
composition_(T)	0.01255575113444071
composition_(F)	0.012315558983912707
composition_(D)	0.012147533110082546
composition_(W)	0.011723270180089717
min_charge	0.011086976250467935
max_charge	0.011066602030382637
composition_(K)	0.010434706592624415
composition_(E)	0.010383407762998105
composition_(Q)	0.010291857814265096
composition_(N)	0.0082336768860316
composition_(Y)	0.007958182011063164
composition_(M)	0.007668301784601453
composition_(H)	0.006765886867537964
