feature	importance
max_hydrophobicity	0.09552104426204136
max_aliphacity	0.06726278360780598
tm_position	0.061995432959745786
mean_hydrophobicity	0.06148488973781028
tm_max	0.0473986175320274
tm_mean	0.03874518902191857
most_hydrophobic_residue	0.0387297091617209
most_aliphatic_residue	0.03693131419199761
mean_beta_sheet	0.03427335377517477
most_likely_beta_sheet	0.033814857847652514
mean_aliphacity	0.03372390812727207
composition_(C)	0.03219182485002502
max_beta_sheet	0.032120798973652914
mean_alpha_helix	0.028819082459010287
composition_(L)	0.02622865334760019
max_alpha_helix	0.026120138914030134
most_charged	0.02384500597283257
composition_(A)	0.023795484425093296
most_likely_alpha_helix	0.018885879343613972
less_charged	0.018831103941741752
composition_(R)	0.0167744225532362
composition_(P)	0.01672660722360131
composition_(I)	0.015344120805052538
composition_(V)	0.014569173615806043
min_charge	0.014220120812751553
composition_(G)	0.013632253299120161
composition_(S)	0.013499043441861524
composition_(T)	0.012663221950545873
composition_(F)	0.012568707456499604
composition_(E)	0.010941876373539381
composition_(W)	0.010345738511077547
composition_(K)	0.010129296588735256
composition_(Q)	0.00963524658297768
max_charge	0.009566738637852809
composition_(D)	0.009533703851464008
composition_(N)	0.007924144626854738
composition_(M)	0.007731217681769859
composition_(Y)	0.007339921922922095
composition_(H)	0.006135371611564286
